;Cod_setor;lat;long;TIPO;income;longevity;literacy;population
349;352460005000016;-47.96016059286125;-24.770383976280783;RURAL;0.5234933540334602;0.7166666666666667;0.954248366013072;226.0
350;352460005000017;-48.00829994364921;-24.787788460754673;RURAL;0.5710683243141625;0.75;0.8937478968975032;903.0
351;352460005000018;-48.071095402723685;-24.796151097787778;RURAL;0.5545052671787029;0.9333333333333332;0.9414556962025316;574.0
352;352460005000019;-48.12703615819272;-24.879229081584775;RURAL;0.5026121649407218;0.7666666666666667;0.9659139100932994;573.0
353;352460005000020;-48.10547686527708;-24.93221076830653;RURAL;0.5042714834090163;0.6666666666666666;0.8657176157176156;441.0
354;352460005000023;-48.01247665631999;-24.71359948607963;RURAL;0.5122287697121146;0.7;0.935205612167478;796.0
355;352460005000024;-48.00803001368015;-24.711809679466082;URBANO;0.5020452015783885;0.6666666666666666;0.9299536011810609;632.0
356;352460005000025;-48.00580064955405;-24.716425553529817;RURAL;0.5568931990011919;0.6333333333333333;0.9651744763385044;870.0
357;352460005000027;-48.06414877418801;-24.904643599465697;RURAL;0.47460819442992;0.7333333333333333;0.8873697278578195;537.0
358;352610005000001;-47.635455873293544;-24.32091908510799;URBANO;0.6437367223753311;0.95;0.969015950670132;261.0
359;352610005000002;-47.63871549521344;-24.320253102885065;URBANO;0.6611175547494107;0.8833333333333333;0.9549570496673772;501.0
360;352610005000003;-47.637845412345285;-24.316099129136123;URBANO;0.628736205058993;0.8666666666666667;0.9409236396890718;940.0
361;352610005000004;-47.632697496427994;-24.3145170196005;URBANO;0.5625083889432659;0.7333333333333333;0.9682934284258788;883.0
362;352610005000005;-47.62774088175003;-24.326628779051177;URBANO;0.6285179613249388;0.8833333333333333;0.9604740001559212;667.0
363;352610005000006;-47.64666809673082;-24.3254862598341;URBANO;0.5315638222820888;0.8;0.9394211959460124;733.0
364;352610005000007;-47.644336289545926;-24.318963797145773;URBANO;0.5333826259122499;0.7666666666666667;0.9335631688572864;532.0
365;352610005000008;-47.64102470547077;-24.315360784159004;URBANO;0.5824759123862275;0.8833333333333333;0.9546787317620652;920.0
366;352610005000009;-47.64763824533691;-24.314733959481824;URBANO;0.4837750076625964;0.7833333333333333;0.9485504287464273;460.0
367;352610005000010;-47.652253202093355;-24.312034226124503;URBANO;0.3988867880985884;0.8833333333333333;0.9012605042016808;81.0
368;352610005000011;-47.64465670219557;-24.309774462843272;URBANO;0.5260146457352693;0.85;0.9226744854547544;619.0
